User amount,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10
10.0,9.147803451659756,10.37944085131626,9.174468277332195,10.58142276816207,9.376659406132593,10.40562808926726,9.332896076453965,10.354919864025891,9.833209783024571,10.744297900967528
20.0,27.632039491130463,25.515686160621108,27.83830502637353,28.539661138571887,24.782730670120593,26.987707030627014,25.552155114428658,26.756178548174304,28.473487068352156,27.12830578220798
30.0,40.98686471923453,42.698088199383456,40.93104470852171,42.44217875838289,46.43281162128073,47.6369868206865,44.546643798914225,45.58440894600389,48.059550165563714,40.79953810227249
40.0,58.638958751252645,70.40205741908355,65.03115782717491,66.75533462065408,59.20609829248507,65.81964172225196,66.42554560037478,63.647200749960284,58.45771147239898,69.90070583085031
50.0,78.65391885872286,81.22839407925089,92.10389528678596,76.6025015264786,85.11754510056964,85.91642187712537,83.12211895400542,88.05396705928742,77.80724113951966,84.25921439433188
60.0,98.0457231729121,97.34189405318773,100.17412706477383,115.69307791959302,114.16714872621309,98.49266713419483,116.74481823932851,102.65786419649014,107.81543922337258,104.90501065480919
70.0,127.18309707491821,135.5411012411039,123.65411183579852,136.84879658650982,141.56075013380436,140.3531738915229,141.63166788254142,128.07010917369723,123.04078806776765,125.25739092808266
80.0,159.91367677956066,151.285010836069,166.78115837620024,142.68021618034126,166.88679795307135,139.68127740364832,151.8406250484075,147.38300333663494,155.59343383643474,138.46304015317986
90.0,173.4046605487619,193.35807504717286,174.74127716859337,184.36583608839504,170.29026927705058,193.2061010019764,174.78181126488852,180.34170899237054,170.41841684569457,162.97508709005785
100.0,191.62396716968718,195.92111187413113,193.63136517722714,217.48502211206062,219.81791636060825,211.62642485989053,195.14657788507932,200.07507002091123,184.98637300077286,209.803818656077
110.0,206.71692904447013,239.42738302326734,234.54451135892393,206.0000354434548,220.5315366444687,205.9373278194432,241.48067496566568,236.2426588813966,216.49394535669794,213.4225020700234
120.0,240.51901042628907,259.10391269267257,269.08064925368694,271.01722236418703,251.58334486938946,258.0814558603163,256.0078404683219,267.97458220323705,240.8322211136168,225.8921815224165
